,Pst,Rate
0,0.1,0.0
1,0.11,0.0
2,0.12,0.0
3,0.13,0.0
4,0.13999999999999999,0.0
5,0.14999999999999997,0.0
6,0.15999999999999998,0.0
7,0.16999999999999998,0.0
8,0.17999999999999997,0.0
9,0.18999999999999995,0.0
10,0.19999999999999996,0.0
11,0.20999999999999996,0.0
12,0.21999999999999995,0.0
13,0.22999999999999995,0.0
14,0.23999999999999994,0.0
15,0.24999999999999992,3.571428571428571
16,0.2599999999999999,0.1999999999999993
17,0.2699999999999999,1.1538461538461533
18,0.2799999999999999,0.0
19,0.2899999999999999,1.195652173913043
20,0.29999999999999993,0.0
21,0.30999999999999994,0.03278688524590123
22,0.3199999999999999,2.125
23,0.32999999999999985,0.0
24,0.33999999999999986,0.4555555555555557
25,0.34999999999999987,0.16666666666666607
26,0.3599999999999999,0.7777777777777786
27,0.3699999999999999,0.5888888888888886
28,0.3799999999999999,0.8666666666666671
29,0.3899999999999999,0.9250000000000007
30,0.3999999999999998,0.7222222222222214
